pair_id,ticker1,ticker2,p_value,beta_ols,alpha_ols,cointegrated
GLD_GDX,GLD,GDX,0.9425336220344229,3.2195778575583818,72.65401043797654,False
KO_PEP,KO,PEP,0.06596528770791141,0.2796272571823506,11.276603544295108,True
XOM_CVX,XOM,CVX,0.2173021453522589,0.7915632224906408,-18.16203848481613,False
JPM_BAC,JPM,BAC,0.9928760907590349,3.3718190579306277,20.830280629039507,False
MSFT_AAPL,MSFT,AAPL,0.7803919563931911,1.6696401996228305,32.62665114539203,False
HD_LOW,HD,LOW,0.07375852859477407,1.1527070883203936,68.26833648242426,True
WMT_COST,WMT,COST,0.1457503456693448,0.04747160120841169,23.586733131483243,False
UNH_CI,UNH,CI,0.3850011866319063,1.6909557270758835,-0.2692610657845407,False
V_MA,V,MA,0.004143124559650161,0.5366779453731678,25.617391408068574,True
PG_CL,PG,CL,0.5606975174205721,2.3653065198212118,-40.060965442614986,False
